Flight_ID,Airline,Departure_City,Arrival_City,Departure_Time,Arrival_Time,Flight_Type,Aircraft_Type,Seats_Available,Price,Meal_Option,Flight_Status,Gate_Number,Gate_Type,Duration (hrs),Baggage_Allowance,Cancellation_Policy,Seat_Class,WiFi_Available,Entertainment_Options,Loyalty_Points_Earned,Layovers,Boarding_Group,Eco_Friendly_Flight,Crew_Language_Support,Inflight_Services,Seat_Availability,Ticket_Flexibility,Discounts_Available,Customer_Rating
11,Spirit,Las Vegas,San Francisco,12:00 PM,04:00 PM,Domestic,Boeing 777,11,799,Non-Vegetarian,On Time,41,Domestic,8.1,20kg,Non-refundable,Economy,Yes,None,1502,2 Stops,Group C,No,English,Sleep Kit,Available,Changeable with Fee,Military Discount,4.7
12,Southwest,Washington D.C.,Denver,04:00 PM,08:00 AM,International,Embraer E190,27,748,Vegan,Cancelled,28,Domestic,2.5,30kg,Refundable with Fee,Premium Economy,Yes,Movies & TV,2840,2 Stops,Group A,No,English,Complimentary Drinks,Fully Booked,Fully Flexible,Student Discount,4.8
13,Frontier,Denver,Chicago,12:00 PM,02:00 PM,Domestic,Airbus A350,24,580,Gluten-Free,Cancelled,34,Domestic,7.2,Unlimited,Fully Refundable,Economy,No,Music,2850,2 Stops,Group A,No,Chinese,Sleep Kit,Limited Availability,Changeable with Fee,Student Discount,3.0
14,Delta,Charlotte,New York,06:00 PM,02:00 PM,Domestic,Embraer E190,25,120,None,On Time,34,International,7.3,20kg,Fully Refundable,Business,Yes,Movies & TV,1177,1 Stop,Group D,No,Multilingual,Complimentary Drinks,Limited Availability,Changeable with Fee,Frequent Flyer Discount,3.1
15,JetBlue,Chicago,Boston,12:00 PM,12:00 PM,Domestic,Boeing 777,14,398,Gluten-Free,On Time,30,Domestic,1.5,20kg,Fully Refundable,First Class,No,Games,1902,2 Stops,Group A,No,Spanish,Extra Legroom,Limited Availability,Fully Flexible,Military Discount,3.4
16,Spirit,Atlanta,Charlotte,08:00 AM,06:00 PM,International,Airbus A350,11,261,Non-Vegetarian,Delayed,3,International,11.0,20kg,Fully Refundable,Business,No,Music,3566,2 Stops,Group B,Yes,Spanish,Sleep Kit,Limited Availability,Non-Changeable,Senior Citizen Discount,4.2
17,Southwest,San Francisco,Houston,08:00 PM,08:00 AM,Domestic,Airbus A320,17,517,Gluten-Free,Cancelled,47,Domestic,2.3,Unlimited,Refundable with Fee,First Class,No,None,3128,2 Stops,Group C,Yes,Chinese,None,Fully Booked,Fully Flexible,Senior Citizen Discount,3.7
18,Frontier,Houston,New York,06:00 AM,06:00 PM,International,Airbus A350,27,334,Vegetarian,Cancelled,27,Domestic,9.4,30kg,Refundable with Fee,First Class,No,Games,3608,2 Stops,Group C,No,English,Priority Boarding,Available,Non-Changeable,None,4.6
19,Southwest,Orlando,Seattle,08:00 AM,08:00 PM,Domestic,Airbus A350,24,446,Vegan,Cancelled,9,International,10.7,Unlimited,Refundable with Fee,First Class,No,Games,4690,1 Stop,Group C,No,French,Complimentary Drinks,Available,Changeable with Fee,Student Discount,4.1
20,JetBlue,Las Vegas,Houston,06:00 PM,08:00 PM,Domestic,Airbus A320,6,534,Non-Vegetarian,On Time,18,Domestic,3.1,30kg,Non-refundable,Economy,Yes,Music,2668,3+ Stops,Group C,Yes,Spanish,Priority Boarding,Available,Non-Changeable,Senior Citizen Discount,3.9
21,United,Phoenix,Chicago,04:00 PM,06:00 AM,International,Boeing 737,12,735,Vegan,On Time,12,Domestic,9.9,15kg,Refundable with Fee,Premium Economy,Yes,Music,1213,3+ Stops,Group A,Yes,French,None,Fully Booked,Non-Changeable,Frequent Flyer Discount,3.8
22,Frontier,Orlando,Washington D.C.,06:00 AM,02:00 PM,Domestic,Boeing 777,15,361,Vegetarian,Cancelled,22,International,7.8,15kg,Fully Refundable,Business,Yes,None,2839,None,Group B,No,Chinese,None,Limited Availability,Non-Changeable,Student Discount,4.0
23,Southwest,Charlotte,Atlanta,06:00 AM,02:00 PM,International,Airbus A320,15,324,Vegan,On Time,32,International,11.8,25kg,Refundable with Fee,First Class,No,Games,4642,None,Group C,Yes,English,None,Available,Non-Changeable,None,4.3
24,Alaska Airlines,Atlanta,Chicago,06:00 PM,02:00 PM,Domestic,Airbus A350,23,240,Vegan,Delayed,47,International,3.7,30kg,Fully Refundable,First Class,Yes,Music,4471,2 Stops,Group D,No,Chinese,Sleep Kit,Limited Availability,Fully Flexible,None,4.7
25,Spirit,Los Angeles,Los Angeles,08:00 AM,10:00 AM,International,Airbus A320,15,275,Vegetarian,Cancelled,45,Domestic,8.7,25kg,Fully Refundable,Premium Economy,Yes,Music,2955,1 Stop,Group D,No,Spanish,Complimentary Drinks,Fully Booked,Non-Changeable,Student Discount,3.3
26,Delta,Boston,Las Vegas,08:00 PM,06:00 AM,Domestic,Boeing 737,13,755,Non-Vegetarian,Cancelled,29,International,11.9,25kg,Non-refundable,Premium Economy,Yes,Games,3129,None,Group A,Yes,Spanish,Complimentary Drinks,Available,Changeable with Fee,Senior Citizen Discount,5.0
27,Delta,Orlando,New York,06:00 PM,06:00 AM,Domestic,Boeing 737,27,242,Vegetarian,Cancelled,26,Domestic,8.7,20kg,Non-refundable,First Class,No,Music,2958,3+ Stops,Group B,No,Spanish,Complimentary Drinks,Fully Booked,Non-Changeable,None,3.7
28,Delta,San Francisco,Phoenix,10:00 AM,04:00 PM,Domestic,Airbus A350,8,176,Non-Vegetarian,On Time,30,Domestic,11.8,20kg,Non-refundable,Premium Economy,No,Movies & TV,4584,3+ Stops,Group D,Yes,English,Complimentary Drinks,Fully Booked,Fully Flexible,Military Discount,3.8
29,Delta,Orlando,Atlanta,08:00 AM,06:00 PM,International,Boeing 737,23,117,Vegan,Delayed,7,International,5.4,25kg,Fully Refundable,Economy,No,Music,4315,1 Stop,Group A,No,French,Extra Legroom,Fully Booked,Non-Changeable,Student Discount,3.7
30,JetBlue,Orlando,Houston,04:00 PM,06:00 PM,International,Boeing 777,17,693,Non-Vegetarian,Cancelled,48,International,8.0,15kg,Refundable with Fee,Economy,No,None,3009,1 Stop,Group C,Yes,Multilingual,Sleep Kit,Fully Booked,Fully Flexible,Frequent Flyer Discount,4.0
31,Frontier,Chicago,Los Angeles,08:00 PM,08:00 PM,Domestic,Boeing 777,21,792,Vegetarian,Delayed,44,International,11.9,Unlimited,Non-refundable,First Class,No,Music,4207,None,Group B,Yes,English,Priority Boarding,Limited Availability,Fully Flexible,Student Discount,3.7
32,Spirit,Denver,Phoenix,04:00 PM,10:00 AM,International,Boeing 777,7,536,Non-Vegetarian,Delayed,19,Domestic,7.6,30kg,Non-refundable,Economy,Yes,Games,3946,3+ Stops,Group D,No,Spanish,None,Limited Availability,Non-Changeable,Student Discount,3.0
33,United,Chicago,Boston,06:00 AM,04:00 PM,Domestic,Airbus A320,12,425,None,Cancelled,35,Domestic,2.0,Unlimited,Refundable with Fee,Premium Economy,No,None,1313,3+ Stops,Group C,No,French,None,Limited Availability,Changeable with Fee,Student Discount,3.8
34,Alaska Airlines,San Francisco,Dallas,06:00 PM,04:00 PM,International,Boeing 737,26,135,Vegan,Cancelled,22,Domestic,6.3,25kg,Fully Refundable,Premium Economy,No,Games,3837,2 Stops,Group D,Yes,Spanish,Complimentary Drinks,Limited Availability,Non-Changeable,Student Discount,3.0
35,Frontier,Seattle,Chicago,04:00 PM,08:00 PM,International,Boeing 737,12,738,Vegetarian,Delayed,38,International,8.6,15kg,Non-refundable,Business,No,Movies & TV,4974,3+ Stops,Group A,No,English,Priority Boarding,Available,Fully Flexible,Frequent Flyer Discount,3.1
36,United,Charlotte,Chicago,10:00 AM,04:00 PM,Domestic,Airbus A320,9,239,Gluten-Free,Delayed,49,Domestic,4.8,30kg,Fully Refundable,Premium Economy,No,Music,1136,None,Group D,No,English,Complimentary Drinks,Fully Booked,Fully Flexible,None,4.8
37,Alaska Airlines,Seattle,Washington D.C.,08:00 AM,04:00 PM,Domestic,Airbus A320,10,738,Non-Vegetarian,Cancelled,49,International,5.5,Unlimited,Non-refundable,Economy,No,None,1954,1 Stop,Group A,No,Chinese,None,Limited Availability,Changeable with Fee,None,4.7
38,Frontier,Seattle,Miami,10:00 AM,08:00 PM,International,Airbus A350,12,786,Gluten-Free,Delayed,46,Domestic,9.4,Unlimited,Fully Refundable,Economy,Yes,Games,2601,3+ Stops,Group D,Yes,English,Complimentary Drinks,Fully Booked,Changeable with Fee,Military Discount,5.0
39,American,Boston,Washington D.C.,04:00 PM,04:00 PM,International,Boeing 777,25,278,Vegan,Cancelled,28,International,6.6,20kg,Refundable with Fee,Economy,No,Games,3498,1 Stop,Group B,No,Multilingual,Sleep Kit,Fully Booked,Changeable with Fee,Military Discount,4.8
40,Southwest,Phoenix,Charlotte,04:00 PM,04:00 PM,International,Boeing 737,22,244,Vegan,Cancelled,16,International,10.2,20kg,Fully Refundable,Business,No,None,4898,3+ Stops,Group B,No,Chinese,Priority Boarding,Limited Availability,Changeable with Fee,Frequent Flyer Discount,3.1
41,Spirit,Orlando,Chicago,06:00 AM,02:00 PM,International,Airbus A350,6,778,Vegan,On Time,14,Domestic,3.3,15kg,Refundable with Fee,Business,No,Music,1597,None,Group D,Yes,English,Priority Boarding,Limited Availability,Fully Flexible,Military Discount,3.2
42,Spirit,New York,Miami,06:00 PM,08:00 PM,Domestic,Airbus A350,12,559,Gluten-Free,Cancelled,37,International,2.9,15kg,Refundable with Fee,Economy,No,Music,2035,2 Stops,Group C,No,Chinese,Priority Boarding,Available,Non-Changeable,None,4.7
43,Frontier,Miami,Miami,12:00 PM,04:00 PM,International,Boeing 777,22,750,Gluten-Free,On Time,41,Domestic,6.7,20kg,Refundable with Fee,Premium Economy,No,None,4766,1 Stop,Group C,No,French,Priority Boarding,Available,Non-Changeable,Student Discount,3.0
44,Spirit,Chicago,Washington D.C.,06:00 PM,06:00 AM,International,Airbus A350,8,587,None,Delayed,48,Domestic,7.1,25kg,Fully Refundable,First Class,Yes,Music,1269,3+ Stops,Group A,No,Chinese,Priority Boarding,Fully Booked,Non-Changeable,Student Discount,4.6
45,United,Orlando,Orlando,02:00 PM,12:00 PM,International,Boeing 777,5,147,Vegan,Delayed,4,International,8.6,25kg,Non-refundable,First Class,Yes,Music,3791,None,Group C,No,Chinese,Priority Boarding,Limited Availability,Fully Flexible,Frequent Flyer Discount,3.0
46,Frontier,Denver,Los Angeles,08:00 PM,04:00 PM,Domestic,Airbus A350,11,256,Gluten-Free,Delayed,32,International,9.4,20kg,Refundable with Fee,Premium Economy,No,None,2134,3+ Stops,Group B,Yes,Chinese,Sleep Kit,Fully Booked,Changeable with Fee,Frequent Flyer Discount,3.3
47,Frontier,Phoenix,Houston,06:00 PM,04:00 PM,Domestic,Airbus A350,17,421,Gluten-Free,Cancelled,39,Domestic,4.1,Unlimited,Non-refundable,Economy,Yes,None,4762,1 Stop,Group B,No,French,Sleep Kit,Fully Booked,Non-Changeable,Senior Citizen Discount,4.4
48,Spirit,New York,Atlanta,06:00 PM,04:00 PM,International,Embraer E190,23,751,None,On Time,44,International,7.1,30kg,Non-refundable,Business,Yes,Music,2902,None,Group A,No,English,Priority Boarding,Fully Booked,Fully Flexible,Frequent Flyer Discount,3.7
49,American,Washington D.C.,Dallas,06:00 AM,04:00 PM,International,Airbus A350,20,746,Gluten-Free,On Time,20,Domestic,6.8,15kg,Non-refundable,Business,Yes,Movies & TV,1763,None,Group A,Yes,English,Extra Legroom,Available,Changeable with Fee,Student Discount,4.7
50,JetBlue,Washington D.C.,Washington D.C.,08:00 AM,02:00 PM,International,Airbus A320,6,726,Vegan,Delayed,48,Domestic,11.9,Unlimited,Refundable with Fee,Business,Yes,Games,2396,3+ Stops,Group D,No,English,Complimentary Drinks,Available,Fully Flexible,Senior Citizen Discount,4.0
51,JetBlue,Atlanta,Washington D.C.,04:00 PM,08:00 PM,International,Embraer E190,21,461,Gluten-Free,On Time,19,Domestic,1.2,25kg,Refundable with Fee,Business,Yes,None,3089,2 Stops,Group A,Yes,Chinese,Priority Boarding,Limited Availability,Changeable with Fee,Frequent Flyer Discount,4.6
52,United,Dallas,Houston,08:00 PM,06:00 AM,International,Boeing 777,17,309,Non-Vegetarian,Cancelled,1,International,11.9,25kg,Refundable with Fee,Economy,Yes,None,3744,None,Group D,No,French,Priority Boarding,Limited Availability,Non-Changeable,Military Discount,3.3
53,JetBlue,Denver,Las Vegas,08:00 PM,10:00 AM,International,Embraer E190,21,424,Gluten-Free,On Time,14,International,3.9,25kg,Fully Refundable,Economy,No,Games,4227,2 Stops,Group C,Yes,Multilingual,Sleep Kit,Fully Booked,Changeable with Fee,Student Discount,3.2
54,Frontier,Houston,Orlando,12:00 PM,08:00 PM,Domestic,Airbus A350,30,610,None,Delayed,42,International,11.4,Unlimited,Fully Refundable,Business,Yes,Music,2348,3+ Stops,Group B,No,Spanish,Priority Boarding,Fully Booked,Non-Changeable,Frequent Flyer Discount,4.0
55,Spirit,Denver,Atlanta,10:00 AM,10:00 AM,Domestic,Embraer E190,13,673,Vegetarian,Delayed,47,Domestic,7.6,30kg,Fully Refundable,First Class,No,None,4484,None,Group D,No,Chinese,Sleep Kit,Available,Non-Changeable,Frequent Flyer Discount,3.6
56,Spirit,Charlotte,Orlando,12:00 PM,08:00 PM,Domestic,Airbus A350,26,513,None,Cancelled,37,Domestic,11.6,20kg,Non-refundable,Economy,No,None,2294,2 Stops,Group A,No,Chinese,Sleep Kit,Available,Fully Flexible,Frequent Flyer Discount,3.1
57,American,Las Vegas,Seattle,02:00 PM,08:00 PM,International,Airbus A350,9,609,Vegetarian,Delayed,49,Domestic,11.8,Unlimited,Non-refundable,Business,No,Movies & TV,2679,None,Group A,Yes,English,Sleep Kit,Available,Changeable with Fee,Frequent Flyer Discount,3.7
58,Southwest,Orlando,Las Vegas,02:00 PM,04:00 PM,International,Boeing 737,22,347,Non-Vegetarian,Cancelled,5,Domestic,1.5,15kg,Fully Refundable,Business,No,None,1788,2 Stops,Group D,No,Chinese,None,Limited Availability,Changeable with Fee,Senior Citizen Discount,4.6
59,Alaska Airlines,Seattle,Chicago,06:00 PM,12:00 PM,Domestic,Airbus A320,30,423,Gluten-Free,Cancelled,11,International,6.6,15kg,Refundable with Fee,Economy,No,Movies & TV,1951,3+ Stops,Group C,No,English,None,Available,Fully Flexible,Frequent Flyer Discount,3.7
60,Frontier,Orlando,San Francisco,10:00 AM,04:00 PM,Domestic,Airbus A350,13,682,Vegetarian,Delayed,20,International,4.0,15kg,Non-refundable,Premium Economy,No,Music,4454,2 Stops,Group D,Yes,Chinese,Extra Legroom,Fully Booked,Fully Flexible,Student Discount,4.6
61,Spirit,Las Vegas,Chicago,08:00 PM,06:00 PM,Domestic,Airbus A320,10,672,Vegetarian,On Time,16,International,3.5,15kg,Non-refundable,First Class,No,None,2035,3+ Stops,Group D,No,Multilingual,None,Available,Fully Flexible,Student Discount,4.2
62,Alaska Airlines,Boston,Los Angeles,06:00 AM,06:00 AM,International,Boeing 737,23,698,Non-Vegetarian,Delayed,12,Domestic,9.8,20kg,Non-refundable,Business,No,Music,4212,1 Stop,Group A,No,Spanish,Complimentary Drinks,Limited Availability,Fully Flexible,Student Discount,4.7
63,JetBlue,Las Vegas,Washington D.C.,04:00 PM,10:00 AM,Domestic,Embraer E190,30,236,None,Cancelled,49,International,3.0,25kg,Non-refundable,First Class,Yes,None,1324,None,Group D,No,Spanish,Sleep Kit,Limited Availability,Fully Flexible,None,3.5
64,JetBlue,Atlanta,Dallas,02:00 PM,12:00 PM,Domestic,Airbus A320,13,344,None,Delayed,30,Domestic,2.9,30kg,Fully Refundable,Premium Economy,No,Music,802,1 Stop,Group D,Yes,French,Priority Boarding,Fully Booked,Non-Changeable,None,4.5
65,Frontier,Boston,Charlotte,02:00 PM,12:00 PM,Domestic,Airbus A350,29,109,Vegan,Cancelled,41,Domestic,10.5,25kg,Fully Refundable,Economy,No,None,3525,1 Stop,Group C,No,Chinese,Complimentary Drinks,Limited Availability,Non-Changeable,None,3.5
66,Southwest,Houston,Phoenix,08:00 AM,06:00 AM,International,Boeing 777,18,575,Vegetarian,On Time,10,Domestic,4.2,Unlimited,Refundable with Fee,Business,No,Music,1444,3+ Stops,Group D,No,Spanish,Extra Legroom,Fully Booked,Fully Flexible,Frequent Flyer Discount,3.4
67,Southwest,Miami,Seattle,08:00 PM,10:00 AM,International,Airbus A320,21,511,Gluten-Free,Delayed,9,Domestic,9.7,Unlimited,Refundable with Fee,First Class,Yes,Music,4484,2 Stops,Group A,No,English,Extra Legroom,Fully Booked,Fully Flexible,Senior Citizen Discount,4.4
68,United,Orlando,Seattle,04:00 PM,06:00 PM,International,Boeing 737,14,596,Non-Vegetarian,Cancelled,16,Domestic,2.9,20kg,Refundable with Fee,Premium Economy,Yes,None,4799,3+ Stops,Group D,No,Spanish,Complimentary Drinks,Limited Availability,Non-Changeable,None,3.1
69,United,Charlotte,San Francisco,06:00 PM,04:00 PM,International,Boeing 777,13,628,Gluten-Free,On Time,33,International,9.0,15kg,Fully Refundable,Business,No,Music,4463,3+ Stops,Group B,No,English,Sleep Kit,Limited Availability,Changeable with Fee,Frequent Flyer Discount,4.7
70,Spirit,Boston,Miami,08:00 AM,10:00 AM,International,Airbus A320,21,247,Vegetarian,Cancelled,46,International,4.0,25kg,Refundable with Fee,Business,No,Games,3476,2 Stops,Group A,Yes,English,Sleep Kit,Available,Fully Flexible,Frequent Flyer Discount,4.6
71,American,Seattle,Houston,06:00 AM,08:00 AM,Domestic,Boeing 777,22,421,Gluten-Free,Delayed,30,International,10.5,30kg,Fully Refundable,Economy,Yes,Music,2354,3+ Stops,Group A,Yes,French,Sleep Kit,Fully Booked,Changeable with Fee,Frequent Flyer Discount,3.2
72,Frontier,San Francisco,San Francisco,06:00 AM,06:00 PM,International,Airbus A320,15,673,Vegetarian,Delayed,41,Domestic,11.5,20kg,Non-refundable,Business,Yes,Music,1121,1 Stop,Group D,No,Multilingual,Sleep Kit,Available,Non-Changeable,Student Discount,3.1
73,JetBlue,Dallas,Chicago,10:00 AM,06:00 PM,Domestic,Embraer E190,16,458,Vegetarian,On Time,48,Domestic,1.3,Unlimited,Fully Refundable,Business,Yes,None,2332,1 Stop,Group D,Yes,Spanish,Priority Boarding,Available,Changeable with Fee,Frequent Flyer Discount,4.3
74,Alaska Airlines,Boston,Dallas,10:00 AM,12:00 PM,International,Airbus A320,13,289,Vegan,Delayed,32,International,3.0,30kg,Refundable with Fee,Economy,Yes,Movies & TV,3830,1 Stop,Group B,Yes,Spanish,Priority Boarding,Fully Booked,Non-Changeable,Military Discount,4.5
75,JetBlue,Miami,Seattle,06:00 PM,08:00 PM,International,Airbus A320,26,302,Gluten-Free,Delayed,44,International,2.3,20kg,Refundable with Fee,Premium Economy,No,Music,1866,3+ Stops,Group A,Yes,French,Priority Boarding,Fully Booked,Fully Flexible,Military Discount,3.9
76,Alaska Airlines,New York,San Francisco,02:00 PM,08:00 PM,Domestic,Embraer E190,8,244,Non-Vegetarian,Delayed,9,International,7.4,15kg,Fully Refundable,Premium Economy,Yes,None,1239,None,Group D,Yes,English,Sleep Kit,Available,Non-Changeable,Student Discount,3.8
77,Alaska Airlines,Boston,Houston,06:00 AM,10:00 AM,Domestic,Embraer E190,30,171,Vegan,Delayed,45,Domestic,11.9,15kg,Refundable with Fee,Economy,No,None,3951,2 Stops,Group A,Yes,English,Complimentary Drinks,Limited Availability,Fully Flexible,Student Discount,3.0
78,Frontier,Denver,Orlando,12:00 PM,04:00 PM,Domestic,Boeing 737,13,154,None,Cancelled,27,Domestic,2.8,25kg,Fully Refundable,First Class,No,None,4859,3+ Stops,Group D,Yes,Spanish,Priority Boarding,Available,Fully Flexible,None,4.6
79,Alaska Airlines,Phoenix,Atlanta,06:00 PM,08:00 AM,International,Airbus A320,17,565,None,Cancelled,49,Domestic,6.3,Unlimited,Refundable with Fee,Economy,Yes,Music,4077,2 Stops,Group C,Yes,French,Priority Boarding,Available,Changeable with Fee,Student Discount,3.7
80,Delta,Atlanta,Las Vegas,12:00 PM,02:00 PM,International,Embraer E190,19,447,Gluten-Free,On Time,14,Domestic,7.9,15kg,Refundable with Fee,Business,No,None,2910,2 Stops,Group C,Yes,French,Priority Boarding,Limited Availability,Non-Changeable,Student Discount,3.8
81,American,Los Angeles,Charlotte,06:00 PM,02:00 PM,International,Embraer E190,20,504,Vegetarian,On Time,16,International,7.2,30kg,Refundable with Fee,Economy,No,None,3869,None,Group A,No,English,Extra Legroom,Available,Non-Changeable,Senior Citizen Discount,3.7
82,United,San Francisco,Atlanta,08:00 AM,04:00 PM,International,Embraer E190,21,744,Vegan,Cancelled,7,Domestic,6.0,30kg,Non-refundable,Premium Economy,No,Movies & TV,4670,3+ Stops,Group C,Yes,Multilingual,Extra Legroom,Available,Non-Changeable,Military Discount,4.6
83,Delta,Boston,Orlando,06:00 PM,12:00 PM,Domestic,Airbus A350,19,738,Non-Vegetarian,Cancelled,13,Domestic,4.2,15kg,Fully Refundable,First Class,Yes,Movies & TV,1522,1 Stop,Group A,No,English,None,Limited Availability,Non-Changeable,Senior Citizen Discount,4.6
84,Alaska Airlines,Charlotte,Orlando,12:00 PM,06:00 AM,Domestic,Boeing 737,20,146,Vegan,Delayed,10,International,2.1,25kg,Refundable with Fee,First Class,Yes,Games,3057,2 Stops,Group A,No,Spanish,Extra Legroom,Available,Changeable with Fee,Student Discount,3.7
85,Southwest,Boston,Chicago,02:00 PM,02:00 PM,Domestic,Boeing 737,12,467,None,Cancelled,17,International,4.3,15kg,Refundable with Fee,Premium Economy,No,Games,2546,2 Stops,Group D,Yes,French,Complimentary Drinks,Fully Booked,Non-Changeable,Senior Citizen Discount,4.7
86,American,San Francisco,Chicago,12:00 PM,08:00 AM,International,Airbus A350,12,738,None,On Time,38,International,7.4,Unlimited,Fully Refundable,Business,No,Movies & TV,993,2 Stops,Group B,Yes,Chinese,None,Limited Availability,Changeable with Fee,None,4.8
87,Southwest,Dallas,Denver,08:00 AM,06:00 AM,Domestic,Boeing 737,6,258,Gluten-Free,Delayed,12,International,8.9,20kg,Non-refundable,Premium Economy,Yes,None,3869,None,Group D,Yes,English,Extra Legroom,Available,Fully Flexible,Frequent Flyer Discount,3.9
88,United,Chicago,Phoenix,04:00 PM,04:00 PM,International,Boeing 737,26,647,Vegetarian,On Time,29,Domestic,6.5,20kg,Fully Refundable,First Class,No,Games,2260,None,Group A,No,Spanish,Extra Legroom,Available,Non-Changeable,Senior Citizen Discount,4.0
89,Delta,New York,Charlotte,06:00 PM,02:00 PM,Domestic,Airbus A320,5,328,Non-Vegetarian,On Time,41,Domestic,3.9,Unlimited,Refundable with Fee,Premium Economy,No,Music,4123,2 Stops,Group C,Yes,Spanish,Sleep Kit,Limited Availability,Changeable with Fee,Military Discount,4.3
90,American,Los Angeles,Miami,10:00 AM,02:00 PM,Domestic,Airbus A320,10,354,Gluten-Free,On Time,37,International,1.9,25kg,Refundable with Fee,Economy,Yes,Movies & TV,1428,2 Stops,Group A,No,Multilingual,Complimentary Drinks,Limited Availability,Changeable with Fee,Frequent Flyer Discount,5.0
91,JetBlue,Los Angeles,Boston,04:00 PM,10:00 AM,International,Boeing 737,25,299,Non-Vegetarian,Delayed,41,Domestic,9.4,30kg,Refundable with Fee,Business,Yes,None,4035,3+ Stops,Group D,Yes,English,Complimentary Drinks,Fully Booked,Non-Changeable,Frequent Flyer Discount,3.6
92,American,Boston,Miami,08:00 AM,06:00 PM,International,Airbus A320,9,146,Vegetarian,On Time,24,International,6.8,20kg,Fully Refundable,First Class,No,Movies & TV,2343,3+ Stops,Group A,Yes,Spanish,Sleep Kit,Available,Changeable with Fee,Student Discount,3.6
93,American,Charlotte,Boston,06:00 AM,08:00 AM,Domestic,Embraer E190,22,671,Vegetarian,Cancelled,31,Domestic,1.8,15kg,Refundable with Fee,Business,No,None,1373,1 Stop,Group D,No,Chinese,Extra Legroom,Limited Availability,Changeable with Fee,Military Discount,4.6
94,Spirit,San Francisco,New York,06:00 AM,06:00 PM,International,Airbus A350,22,223,Vegetarian,On Time,23,Domestic,5.1,15kg,Non-refundable,Business,Yes,Music,4006,None,Group C,Yes,Chinese,Priority Boarding,Available,Non-Changeable,Military Discount,4.5
